Install_Dates,campaign_id,Country,installs,spends
2020-05-13,789909,RU,95.0,14.95
2020-05-02,794235,LB,28.0,0.15
2020-05-04,794235,BF,3.0,0.02
2020-04-15,22083,TW,2.0,0.31
2020-03-20,94692,UA,12.0,2.95
2020-04-18,22083,UNKNOWN,0.0,10.94
2020-04-28,792410,CG,16.0,0.28
2020-04-22,788298,IT,5.0,0.62
2020-04-30,19115,SE,4.0,1.21
2020-04-04,19115,FI,8.0,8.22
2020-04-02,90619,DK,6.0,1.99
2020-03-26,161666,CH,1.0,0.25
2020-04-15,19115,NO,2.0,0.38
2020-04-10,790629,SK,8.0,0.52
2020-04-10,791542,UK,86.0,27.31
2020-05-14,794235,TT,1.0,0.02
2020-03-20,789016,NO,2.0,0.24
2020-04-17,22083,US,11.0,2.19
2020-04-05,19115,ES,30.0,3.99
2020-05-03,19115,PL,64.0,30.19
2020-04-06,94296,SE,15.0,17.94
2020-04-12,94033,PL,17.0,3.09
2020-03-21,159854,FR,26.0,8.79
2020-03-28,158780,BR,9.0,1.35
2020-03-24,90133,BY,70.0,0.78
2020-04-21,790034,RU,348.0,49.79
2020-05-05,787170,CZ,2.0,0.51
2020-04-05,787733,FR,95.0,16.85
2020-05-05,159253,DK,6.0,2.32
2020-04-02,19115,DE,175.0,128.34
2020-04-06,788437,JP,2.0,6.22
2020-05-18,22083,BR,2.0,0.29
2020-03-20,19115,PH,17.0,2.08
2020-03-18,91502,FI,2.0,0.71
2020-03-20,159253,DE,10.0,4.4
2020-04-01,19115,HU,6.0,0.98
2020-04-24,19115,DK,15.0,13.4
2020-04-25,94628,TW,1.0,10.02
2020-05-03,786589,BR,1.0,0.06
2020-04-22,19115,IT,4.0,3.6
2020-05-02,789616,RU,9.0,1.83
2020-03-27,161666,NO,1.0,0.16
2020-04-14,19115,CH,2.0,2.21
2020-04-19,95842,US,13.0,25.25
2020-05-06,789436,PL,88.0,19.44
2020-05-06,160483,TW,24.0,11.91
2020-04-30,788078,ID,2.0,0.09
2020-04-20,790549,RU,119.0,10.22
2020-04-24,92440,HR,46.0,31.24
2020-04-12,93687,NZ,3.0,3.28
2020-03-25,788794,KZ,441.0,22.15
2020-04-21,788531,KR,2.0,5.25
2020-04-05,92847,JP,0.0,0.15
2020-03-21,94608,TW,11.0,79.55
2020-04-27,792410,MX,33.0,0.6
2020-04-01,788982,MX,242.0,7.26
2020-05-07,93761,NZ,2.0,4.44
2020-04-01,19115,FR,45.0,17.49
2020-05-15,791854,US,22.0,26.51
2020-05-14,794235,TN,45.0,0.37
2020-04-25,92607,IT,67.0,50.0
2020-04-14,19115,AT,1.0,0.31
2020-04-23,19115,HR,2.0,1.72
2020-04-11,161271,UA,473.0,43.7
2020-03-18,787907,UK,9.0,1.17
2020-03-30,789575,RO,1.0,0.03
2020-05-05,794235,LY,9.0,0.04
2020-04-01,90430,CH,0.0,0.19
2020-05-18,788636,KZ,1.0,0.05
2020-04-11,19115,RU,449.0,98.86
2020-03-24,19115,TW,18.0,13.71
2020-03-24,159253,AT,17.0,5.43
2020-05-01,159854,IT,31.0,4.32
2020-05-13,794235,ZA,3.0,0.02
2020-03-28,158583,NZ,2.0,1.0
2020-04-23,790003,RU,1.0,0.21
2020-04-10,92926,KR,20.0,37.85
2020-05-18,794235,HN,13.0,0.11
2020-03-26,19115,US,33.0,51.78
2020-04-09,98067,AF,9.0,0.6
2020-03-18,19115,BE,3.0,0.32
2020-05-09,19115,NZ,1.0,0.09
2020-04-17,786714,BY,445.0,47.3
2020-04-06,90464,CZ,26.0,13.65
2020-04-22,789721,RU,613.0,100.39
2020-04-29,160845,RU,2337.0,459.29
2020-05-17,794235,MD,6.0,0.06
2020-05-05,794235,KG,4.0,0.02
2020-03-29,92708,JP,15.0,25.21
2020-04-12,803393,UA,13.0,2.1
2020-04-10,788583,KR,1.0,0.28
2020-04-30,92551,IE,11.0,17.08
2020-04-01,791401,UA,35.0,1.48
2020-04-30,792410,TR,72.0,1.84
2020-04-10,94502,SK,30.0,22.51
2020-04-20,794235,BD,19.0,0.08
2020-05-08,22083,PL,4.0,0.34
2020-04-22,91872,FR,0.0,4.66
2020-04-13,19115,UA,56.0,11.22
2020-05-13,90619,AT,6.0,9.42
2020-04-25,794235,PK,101.0,0.58
2020-03-27,788894,LV,7.0,0.42
2020-04-29,19115,IE,3.0,1.1
2020-04-01,160483,KR,38.0,25.96
2020-03-19,96175,RO,3.0,0.03
2020-04-04,94157,QA,1.0,0.71
2020-04-08,91425,FI,12.0,25.14
2020-03-30,791300,UA,275.0,11.69
2020-05-15,794235,MN,9.0,0.09
2020-04-12,790709,TW,1.0,0.4
2020-03-30,787847,FR,96.0,10.23
2020-03-19,95659,US,2.0,1.37
2020-04-07,787605,DE,1.0,0.5
2020-04-19,22083,IT,10.0,2.2
2020-04-11,19115,UK,24.0,30.31
2020-04-09,92356,HK,4.0,3.06
2020-05-16,794235,BO,15.0,0.13
2020-05-08,794235,UY,2.0,0.01
2020-04-23,788709,KZ,28.0,4.39
2020-05-13,160483,JP,1.0,0.7
2020-04-20,794235,MM,18.0,0.09
2020-03-25,19115,RO,16.0,4.5
2020-03-29,19115,CZ,28.0,6.71
2020-05-15,794235,CI,4.0,0.04
2020-05-08,90375,CH,8.0,33.15
2020-05-18,794235,ML,2.0,0.02
2020-03-27,96175,GE,3.0,0.05
2020-04-05,89917,AU,5.0,0.3
2020-04-04,787274,DE,106.0,40.49
2020-04-14,787935,GE,15.0,1.05
2020-04-19,792342,AR,0.0,2.52
2020-04-26,790465,RU,5.0,0.66
2020-03-19,93101,KR,15.0,0.87
2020-04-05,791631,US,68.0,53.26
2020-05-09,90619,DE,26.0,30.67
2020-05-17,95040,UA,298.0,57.01
2020-04-21,791179,UA,152.0,71.11
2020-04-07,789587,RO,11.0,0.33
2020-04-24,792410,AR,150.0,2.13
2020-05-11,93027,KR,19.0,51.86
2020-04-06,786955,CA,7.0,1.26
2020-03-19,19115,ES,18.0,4.12
2020-04-01,22083,US,0.0,0.22
2020-04-06,789016,NO,18.0,4.27
2020-03-24,790629,SK,55.0,3.92
2020-03-25,161666,HU,19.0,1.14
2020-03-29,19115,NO,2.0,2.3
2020-05-16,19115,SE,2.0,5.03
2020-03-18,19115,FI,3.0,3.0
2020-04-15,790778,UA,296.0,26.96
2020-03-18,789081,PH,4.0,0.28
2020-05-13,792410,CG,6.0,0.1
2020-04-06,94692,UA,166.0,66.3
2020-05-07,788298,IT,160.0,24.32
2020-05-18,794235,LB,112.0,0.93
2020-04-28,789909,RU,248.0,31.44
2020-04-19,793773,YE,0.0,0.02
2020-04-14,22083,RU,56.0,19.35
2020-04-30,792410,VN,312.0,7.99
2020-05-03,790678,TW,1.0,0.14
2020-05-15,794235,BG,6.0,0.05
2020-05-04,90039,BE,11.0,8.05
2020-05-07,19115,KR,1.0,1.07
2020-03-23,158583,SE,5.0,1.5
2020-04-08,93546,NL,5.0,0.88
2020-05-08,22083,UNKNOWN,0.0,20.11
2020-04-20,787481,DE,32.0,14.21
2020-04-04,91502,FI,1.0,0.36
2020-04-11,788445,JP,1.0,3.71
2020-05-15,794235,AO,1.0,0.01
2020-05-02,22083,BR,1.0,0.26
2020-04-20,787170,CZ,73.0,16.22
2020-04-01,791927,US,32.0,46.38
2020-04-10,90133,BY,36.0,0.35
2020-04-07,159854,FR,5.0,1.67
2020-04-18,19115,PL,85.0,20.08
2020-04-13,790437,RU,47.0,8.54
2020-04-19,788070,ID,0.0,2.56
2020-04-11,788794,KZ,8.0,0.2
2020-04-14,92368,HK,2.0,0.51
2020-04-23,788931,MD,1.0,0.08
2020-04-21,160483,TW,30.0,18.18
2020-04-07,791763,US,59.0,43.84
2020-05-18,789616,RU,9.0,1.32
2020-05-04,95842,US,25.0,41.46
2020-05-07,19115,IT,4.0,0.69
2020-04-18,786589,BR,256.0,21.46
2020-05-09,19115,DK,6.0,13.91
2020-03-27,161666,KW,2.0,0.24
2020-04-17,19115,HU,5.0,0.46
2020-04-06,159253,DE,7.0,1.12
2020-05-02,93806,PL,91.0,44.09
2020-04-04,787907,UK,10.0,1.86
2020-04-20,794235,LY,17.0,0.08
2020-03-28,96175,UZ,37.0,0.65
2020-05-08,19115,HR,5.0,0.58
2020-04-04,788019,GE,57.0,1.63
2020-05-17,19115,QA,1.0,0.07
2020-04-10,89897,AU,19.0,34.65
2020-04-29,789528,RO,1.0,0.06
2020-03-28,19115,AT,3.0,1.18
2020-04-03,19115,AU,23.0,20.76
2020-04-23,91461,FI,13.0,12.25
2020-04-29,794235,TN,13.0,0.06
2020-05-03,803279,US,1.0,0.99
2020-04-13,95525,UK,10.0,3.95
2020-04-01,789100,PH,8.0,0.04
2020-04-17,19115,FR,1.0,0.05
2020-04-22,93761,NZ,0.0,0.21
2020-05-02,791156,UA,1.0,0.65
2020-05-12,792410,MX,40.0,0.82
2020-04-20,794235,AL,1.0,0.01
2020-03-20,90464,CZ,7.0,1.13
2020-05-14,160845,RU,2424.0,540.95
2020-05-07,789721,RU,520.0,83.36
2020-03-26,788390,IT,5.0,0.21
2020-04-19,793773,TJ,0.0,0.02
2020-04-04,19115,BE,16.0,3.4
2020-05-17,794235,BW,4.0,0.03
2020-04-12,19115,US,54.0,103.36
2020-05-02,794235,HN,4.0,0.02
2020-03-22,90619,UN,0.0,0.12
2020-03-24,92926,KR,0.0,0.21
2020-05-08,790003,RU,3.0,0.52
2020-05-18,794235,MV,1.0,0.01
2020-04-02,19115,CA,3.0,2.88
2020-05-17,159854,IT,35.0,4.76
2020-04-10,159253,AT,2.0,0.61
2020-04-10,19115,TW,16.0,12.42
2020-05-02,788636,KZ,8.0,0.84
2020-03-25,19115,RU,1752.0,379.79
2020-05-04,794235,LT,2.0,0.01
2020-04-21,90133,BY,99.0,1.27
2020-05-01,159854,FR,41.0,8.85
2020-05-13,794235,UG,1.0,0.01
2020-05-09,794235,SD,3.0,0.02
2020-04-13,19115,PL,57.0,14.25
2020-03-21,90262,CA,9.0,1.23
2020-05-04,94033,PL,51.0,27.04
2020-04-08,788948,MD,103.0,3.64
2020-05-15,794235,IM,1.0,0.01
2020-05-08,22083,UA,28.0,0.24
2020-05-16,22083,NL,3.0,7.86
2020-04-27,91502,FI,13.0,1.71
2020-04-12,92536,IE,2.0,3.61
2020-04-11,159253,DK,3.0,1.54
2020-05-11,787733,FR,2.0,0.5
2020-04-11,787170,CZ,145.0,21.13
2020-03-24,790034,RU,3824.0,407.68
2020-05-14,19115,DE,101.0,89.33
2020-05-10,22083,UK,0.0,5.43
2020-04-01,19115,IT,21.0,4.6
2020-04-13,786589,BR,232.0,20.38
2020-05-01,791763,US,33.0,21.71
2020-05-10,19115,CH,0.0,0.15
2020-03-26,95842,US,52.0,114.73
2020-04-22,19115,HU,4.0,1.64
2020-05-02,159253,DE,42.0,14.83
2020-03-24,94578,SK,13.0,0.37
2020-03-29,19115,DK,2.0,1.25
2020-04-27,794235,SO,8.0,0.04
2020-04-25,92368,HK,1.0,4.42
2020-05-04,93687,NZ,10.0,10.82
2020-04-10,160483,TW,21.0,10.08
2020-04-27,803170,RU,87.0,51.14
2020-04-18,95525,UK,10.0,13.79
2020-04-16,91461,FI,13.0,11.61
2020-05-09,787244,DE,2.0,1.85
2020-04-25,792410,GE,6.0,0.12
2020-04-22,19115,FR,1.0,0.1
2020-04-14,786565,AU,1.0,0.4
2020-04-17,93761,NZ,1.0,0.01
2020-04-18,792342,GE,0.0,0.06
2020-05-18,794235,DZ,144.0,1.19
2020-03-30,19115,HR,11.0,4.29
2020-04-06,93806,PL,98.0,39.57
2020-05-05,161271,UA,97.0,6.25
2020-04-17,790653,SK,1.0,0.1
2020-03-26,91391,DK,2.0,0.29
2020-04-09,787708,FI,7.0,0.7
2020-05-10,19115,AT,3.0,10.4
2020-04-30,792410,PY,44.0,0.88
2020-05-07,792410,AM,57.0,1.08
2020-04-14,788109,IL,1.0,0.06
2020-05-16,90619,UN,0.0,0.08
2020-04-21,159253,AT,4.0,0.85
2020-04-21,19115,TW,1.0,0.49
2020-05-05,19115,RU,1021.0,250.89
2020-04-05,789191,PH,28.0,0.87
2020-04-25,22083,SA,1.0,4.12
2020-03-24,788761,KZ,56.0,1.77
2020-03-21,159854,IT,42.0,13.83
2020-04-02,792160,UZ,15.0,0.15
2020-05-07,786714,BY,291.0,26.6
2020-04-01,96175,RS,8.0,0.06
2020-04-19,19115,US,117.0,290.07
2020-03-25,161666,MX,36.0,2.16
2020-04-28,788839,LV,82.0,15.82
2020-03-27,792044,US,116.0,37.38
2020-04-30,794235,NI,7.0,0.04
2020-04-15,19115,NZ,0.0,0.23
2020-04-27,19115,BE,3.0,0.64
2020-04-02,19115,HK,2.0,0.49
2020-04-18,19115,UA,129.0,24.15
2020-03-29,161569,US,46.0,31.66
2020-04-06,790575,SE,1.0,0.11
2020-04-21,794235,EG,15.0,0.08
2020-04-30,794235,MA,4.0,0.02
2020-04-30,794235,AZ,4.0,0.02
2020-05-09,92708,JP,13.0,45.04
2020-05-01,22083,DE,24.0,41.48
2020-03-27,788408,IT,70.0,6.3
2020-05-03,794235,CO,5.0,0.02
2020-05-05,788248,IN,0.0,0.02
2020-05-05,803115,DE,5.0,2.76
2020-05-11,95659,US,38.0,69.8
2020-04-20,793773,PK,0.0,0.3
2020-05-13,794235,Unknown,0.0,0.01
2020-05-08,94342,SE,14.0,22.3
2020-04-20,22083,CH,1.0,0.78
2020-04-20,19115,UK,6.0,11.1
2020-04-12,22083,IT,0.0,0.3
2020-04-19,94033,UN,0.0,0.41
2020-05-16,794235,JM,3.0,0.02
2020-05-07,93399,NL,29.0,34.55
2020-04-29,786429,AT,77.0,45.93
2020-05-16,787112,CL,2.0,0.41
2020-04-02,19115,IE,11.0,1.91
2020-05-18,794235,GR,7.0,0.05
2020-04-27,94157,QA,4.0,4.98
2020-04-28,794235,PE,1.0,0.01
2020-05-07,160483,KR,59.0,49.22
2020-05-04,22083,FR,5.0,3.09
2020-04-26,89917,AU,7.0,28.81
2020-04-07,791872,US,21.0,29.95
2020-04-10,791179,UA,161.0,46.52
2020-04-27,787274,DE,81.0,27.86
2020-03-29,90619,DE,90.0,123.4
2020-04-26,791631,US,37.0,26.89
2020-05-11,93101,KR,8.0,0.81
2020-05-17,794235,JO,39.0,0.33
2020-05-02,803255,UA,7.0,1.28
2020-04-16,788709,KZ,15.0,3.22
2020-03-25,792192,UZ,627.0,15.78
2020-03-27,786843,BY,208.0,7.32
2020-05-09,19115,CZ,7.0,2.17
2020-05-09,786995,CH,14.0,9.23
2020-05-05,19115,RO,6.0,0.89
2020-05-11,794235,VE,14.0,0.08
2020-05-17,22083,CA,2.0,6.55
2020-03-27,788477,JP,2.0,0.56
2020-04-26,159854,UK,6.0,1.68
2020-05-09,22083,TW,2.0,2.6
2020-04-25,22083,RU,88.0,95.94
2020-04-11,787481,DE,97.0,40.25
2020-03-30,791913,US,0.0,50.6628
2020-04-01,19115,KR,9.0,19.71
2020-05-06,791542,UK,52.0,18.33
2020-05-11,19115,ES,20.0,4.02
2020-05-07,22083,US,36.0,35.68
2020-05-09,160696,PL,6.0,1.6
2020-04-24,790778,UA,779.0,100.16
2020-05-02,94692,UA,43.0,21.92
2020-05-12,789292,PL,107.0,26.5
2020-05-09,19115,NO,1.0,2.37
2020-05-14,90619,DK,2.0,6.96
2020-05-05,792410,PH,34.0,0.72
2020-05-12,19115,FI,6.0,5.29
2020-03-22,19115,SE,1.0,0.31
2020-05-10,794235,SV,4.0,0.02
2020-04-29,19115,DE,29.0,20.06
2020-03-28,161666,TH,5.0,0.4
2020-04-04,90464,UN,0.0,0.05
2020-04-26,787733,FR,17.0,4.47
2020-04-10,790034,RU,3343.0,483.33
2020-03-25,159253,DK,5.0,0.99
2020-03-18,95394,UA,72.0,0.97
2020-05-12,91502,FI,24.0,3.37
2020-04-11,786357,AE,27.0,3.42
2020-04-03,791951,US,58.0,19.41
2020-05-17,794235,MQ,1.0,0.01
2020-04-30,22083,NL,4.0,2.55
2020-05-18,22083,JP,6.0,2.02
2020-04-19,94033,PL,72.0,49.43
2020-03-22,788948,MD,54.0,1.57
2020-03-27,19115,PL,34.0,11.94
2020-03-22,92340,GR,2.0,0.01
2020-05-17,159854,FR,65.0,16.13
2020-05-06,90133,BY,51.0,0.58
2020-05-12,803170,RU,70.0,46.91
2020-03-23,96175,CO,13.0,0.28
2020-04-01,803588,RU,274.0,22.64
2020-03-24,160483,TW,23.0,7.71
2020-04-10,788531,KR,29.0,44.13
2020-03-22,94405,SE,19.0,3.57
2020-04-19,93687,NZ,2.0,15.15
2020-03-20,92193,FR,18.0,0.89
2020-03-21,158780,SI,2.0,0.2
2020-04-15,92440,HR,11.0,3.29
2020-05-12,794235,SO,3.0,0.02
2020-03-23,788099,IL,1.0,0.04
2020-05-16,794235,BZ,2.0,0.02
2020-04-15,19115,DK,2.0,0.53
2020-05-16,788609,KZ,365.0,25.57
2020-05-18,159253,DE,23.0,11.91
2020-05-07,19115,HU,9.0,2.24
2020-04-12,95842,US,1.0,3.86
2020-04-25,19115,CH,2.0,0.52
2020-04-20,793773,TG,0.0,0.01
2020-05-17,791763,US,7.0,8.03
2020-04-14,94628,TW,0.0,2.98
2020-04-04,93261,KZ,14.0,3.29
2020-04-17,19115,IT,2.0,0.38
2020-04-25,22083,UK,4.0,4.63
2020-05-07,794235,TJ,4.0,0.02
2020-04-16,803472,US,0.0,1.5
2020-04-14,92607,IT,22.0,7.49
2020-05-08,19115,IS,1.0,0.25
2020-05-18,794235,MY,6.0,0.05
2020-04-20,161271,UA,89.0,6.66
2020-04-07,19115,QA,1.0,0.11
2020-05-17,794235,NC,2.0,0.02
2020-04-16,19115,HR,1.0,0.1
2020-03-25,161666,IN,8.0,0.12
2020-05-02,794235,DZ,35.0,0.18
2020-05-07,19115,FR,6.0,2.57
2020-04-26,92847,JP,4.0,17.02
2020-05-10,792410,GE,18.0,0.38
2020-03-23,161666,BR,326.0,26.08
2020-03-23,93375,MX,14.0,0.19
2020-05-03,95525,UK,23.0,24.57
2020-04-03,95464,UK,35.0,33.06
2020-05-12,19115,BE,9.0,6.27
2020-05-15,794235,NI,9.0,0.08
2020-05-04,19115,US,20.0,39.28
2020-04-12,787676,DK,5.0,0.9
2020-03-25,158583,TW,10.0,5.0
2020-04-17,789721,RU,276.0,50.17
2020-04-02,160845,RU,1781.0,298.28
2020-04-22,786714,BY,805.0,105.16
2020-05-17,794235,CV,1.0,0.01
2020-05-17,794235,OM,1.0,0.01
2020-05-10,22083,SA,0.0,2.04
2020-04-07,159854,IT,6.0,1.49
2020-04-10,788761,KZ,1.0,0.03
2020-04-02,803287,SE,4.0,2.63
2020-03-21,788206,IN,151.0,1.22
2020-05-05,794235,IN,10.0,0.05
2020-03-27,158583,US,2.0,6.0
2020-04-20,19115,RU,743.0,178.62
2020-05-06,19115,TW,2.0,0.32
2020-05-06,159253,AT,2.0,0.65
2020-04-21,92926,KR,24.0,25.97
2020-04-30,786530,AU,2.0,0.84
2020-04-22,792410,AM,34.0,0.5
2020-04-16,790003,RU,153.0,28.45
2020-05-15,794235,BR,1.0,0.01
2020-05-16,792410,PY,4.0,0.05
2020-03-27,161666,ID,40.0,2.4
2020-04-13,788408,IT,8.0,0.72
2020-03-26,787456,DE,3.0,0.26
2020-04-24,92708,JP,6.0,26.28
2020-03-20,91343,UN,0.0,0.24
2020-05-17,22083,DE,5.0,9.14
2020-05-15,794235,AZ,3.0,0.02
2020-05-15,794235,MA,37.0,0.33
2020-04-03,90619,AT,6.0,2.26
2020-05-06,794235,EG,26.0,0.13
2020-04-14,787687,DK,31.0,15.5
2020-05-18,794235,CD,0.0,0.01
2020-03-20,790575,SE,1.0,0.08
2020-04-01,93355,LT,4.0,0.08
2020-03-21,789083,PH,14.0,0.32
2020-04-18,790424,RU,170.0,27.91
2020-04-15,161569,US,163.0,117.33
2020-04-28,19115,JP,1.0,1.34
2020-05-03,19115,UA,131.0,25.45
2020-03-21,22083,UNKNOWN,0.0,0.47
2020-04-01,91872,FR,40.0,28.4
2020-04-18,793773,UY,0.0,0.01
2020-05-12,94157,QA,2.0,7.89
2020-04-22,160483,KR,54.0,56.78
2020-05-13,794235,PE,6.0,0.04
2020-03-24,158583,UK,9.0,3.33
2020-04-18,788894,LV,1.0,0.08
2020-04-23,787847,FR,1.0,0.11
2020-04-23,791300,UA,1.0,0.04
2020-04-30,787112,CL,229.0,25.21
2020-05-14,786429,AT,1.0,1.05
2020-04-22,93399,NL,52.0,48.02
2020-05-04,94033,UN,0.0,0.27
2020-04-26,98067,RU,1.0,0.14
2020-05-05,19115,UK,6.0,7.14
2020-04-09,93295,KZ,17.0,2.45
2020-04-23,94342,SE,7.0,6.52
2020-05-05,22083,CH,1.0,1.13
2020-04-15,790391,RU,1.0,0.21
2020-04-03,787598,DE,20.0,2.47
2020-05-05,794235,KH,4.0,0.02
2020-04-26,95659,US,35.0,52.99
2020-05-17,794235,MK,6.0,0.06
2020-04-20,788248,IN,0.0,8.92
2020-04-24,19115,CZ,9.0,2.57
2020-04-24,786995,CH,18.0,18.89
2020-04-26,794235,VE,28.0,0.14
2020-04-20,19115,RO,10.0,1.43
2020-04-13,786843,BY,141.0,10.08
2020-04-04,788127,IN,248.0,7.13
2020-04-16,90375,CH,4.0,8.53
2020-05-03,792410,UZ,612.0,15.02
2020-05-01,794235,JO,10.0,0.05
2020-04-03,160483,JP,10.0,6.15
2020-04-15,90619,DE,40.0,29.98
2020-04-26,93101,KR,7.0,0.39
2020-05-11,791631,US,69.0,65.94
2020-05-07,794235,YE,5.0,0.02
2020-05-10,787935,GE,7.0,0.79
2020-05-12,787274,DE,224.0,99.25
2020-04-05,93027,KR,2.0,1.16
2020-04-07,95040,UA,112.0,31.37
2020-04-06,94248,QA,0.0,0.01
2020-05-17,794235,CL,0.0,0.01
2020-04-19,98067,DE,0.0,0.28
2020-04-12,791455,UA,53.0,10.4
2020-04-19,22083,FR,7.0,3.95
2020-04-20,792410,PH,6.0,0.09
2020-04-25,794235,SV,1.0,0.01
2020-04-27,19115,FI,6.0,1.43
2020-04-08,19115,SE,7.0,4.02
2020-04-24,19115,NO,1.0,0.26
2020-04-29,90619,DK,3.0,2.18
2020-04-17,788298,IT,14.0,1.64
2020-03-25,161666,IT,12.0,0.96
2020-04-14,787088,CH,0.0,0.25
2020-04-27,789292,PL,451.0,96.98
2020-03-25,789602,RU,0.0,195.4749
2020-04-06,89985,BE,12.0,15.45
2020-04-03,786627,BR,4.0,0.19
2020-05-09,790778,UA,354.0,53.43
2020-04-22,22083,US,33.0,10.76
2020-04-26,19115,ES,54.0,9.53
2020-04-21,791542,UK,35.0,14.75
2020-04-17,19115,KR,1.0,1.13
2020-04-12,90039,BE,0.0,0.02
2020-05-11,794235,RS,3.0,0.02
2020-04-17,790592,SK,87.0,15.5
2020-05-10,22083,RU,34.0,88.02
2020-04-24,22083,TW,0.0,2.84
2020-04-13,790678,TW,38.0,24.5
2020-05-11,159854,UK,16.0,4.87
2020-05-01,22083,CA,3.0,5.03
2020-03-25,791401,UA,79.0,3.18
2020-04-29,92551,IE,15.0,15.19
2020-04-28,792410,TR,95.0,2.35
2020-04-14,803393,UA,5.0,1.05
2020-04-28,794235,EC,3.0,0.02
2020-05-07,794235,KG,9.0,0.05
2020-03-27,92708,JP,1.0,5.32
2020-04-08,787262,DE,42.0,23.04
2020-03-25,788001,GE,1.0,0.02
2020-05-15,90619,AT,5.0,6.75
2020-04-19,793773,KH,0.0,0.02
2020-04-25,794235,LA,3.0,0.02
2020-03-23,19115,JP,3.0,2.37
2020-04-15,19115,UA,32.0,5.2
2020-05-03,161569,US,61.0,62.63
2020-04-22,794235,BD,36.0,0.18
2020-03-24,791300,UA,344.0,14.77
2020-03-24,787847,FR,115.0,12.28
2020-04-14,790709,TW,2.0,0.8
2020-04-30,19115,IE,2.0,0.58
2020-05-13,794235,MN,10.0,0.1
2020-03-21,96175,RO,1.0,0.02
2020-03-29,788894,LV,7.0,0.42
2020-03-25,160483,KR,22.0,12.92
2020-04-06,94157,QA,3.0,1.18
2020-04-14,94033,UN,0.0,0.11
2020-04-08,786429,AT,67.0,27.5
2020-04-17,22083,CH,1.0,0.35
2020-05-06,794235,UY,1.0,0.01
2020-04-17,19115,UK,6.0,3.63
2020-04-25,22083,IT,9.0,5.41
2020-05-14,794235,BO,14.0,0.1
2020-04-03,92356,HK,0.0,7.57
2020-03-23,158519,UA,546.0,44.77
2020-03-21,95659,US,0.0,0.39
2020-04-18,793773,EG,0.0,0.06
2020-04-17,793773,PK,0.0,0.32
2020-05-06,90375,CH,6.0,11.55
2020-05-18,788127,IN,3.0,0.07
2020-05-13,794235,CI,3.0,0.02
2020-03-27,19115,CZ,30.0,13.18
2020-04-01,19115,RO,13.0,1.19
2020-04-22,794235,MM,16.0,0.08
2020-05-15,160483,JP,2.0,1.04
2020-04-21,788709,KZ,9.0,2.01
2020-04-23,791179,UA,57.0,14.73
2020-05-11,95040,UA,269.0,51.73
2020-04-04,786955,CA,5.0,0.54
2020-04-05,789587,RO,6.0,0.18
