Install_Dates,source_type,Country,installs
2020-03-23,Paid,RO,9.0
2020-05-12,Paid,IT,19.0
2020-05-18,Paid,UA,590.0
2020-05-06,Paid,IR,5.0
2020-04-02,Organic,EG,17.0
2020-05-16,Paid,VE,59.0
2020-05-06,Paid,US,1.0
2020-03-26,Paid,FR,14.0
2020-05-05,Organic,CZ,23.0
2020-04-09,Organic,ID,59.0
2020-03-25,Paid,MX,188.0
2020-03-22,Paid,BY,521.0
2020-05-14,Paid,JP,3.0
2020-05-13,Paid,IT,3.0
2020-05-15,Paid,MY,1.0
2020-04-20,Organic,IE,3.0
2020-03-20,Paid,RO,2.0
2020-05-03,Paid,IR,7.0
2020-04-20,Paid,RU,2345.0
2020-04-22,Paid,LA,1.0
2020-04-14,Paid,IN,1222.0
2020-03-18,Organic,MR,2.0
2020-03-29,Organic,BS,1.0
2020-04-20,Organic,HK,9.0
2020-03-18,Paid,US,1.0
2020-04-11,Paid,FI,11.0
2020-04-08,Organic,SV,4.0
2020-04-20,Paid,NO,3.0
2020-05-05,Organic,BT,2.0
2020-04-28,Paid,BE,20.0
2020-03-25,Paid,PL,28.0
2020-03-19,Organic,VN,142.0
2020-04-21,Paid,US,46.0
2020-03-25,Paid,LV,7.0
2020-05-11,Organic,BR,20.0
2020-05-18,Paid,HU,18.0
2020-04-17,Organic,KH,11.0
2020-04-29,Paid,IQ,1.0
2020-04-19,Organic,PS,15.0
2020-04-14,Paid,BD,1.0
2020-05-07,Organic,UK,32.0
2020-04-06,Organic,PR,2.0
2020-04-16,Organic,PT,4.0
2020-05-17,Paid,CH,29.0
2020-04-18,Organic,GT,3.0
2020-05-02,Organic,HU,14.0
2020-04-03,Organic,SN,1.0
2020-03-19,Paid,SY,7.0
2020-04-28,Organic,GR,11.0
2020-05-01,Organic,SI,7.0
2020-03-24,Paid,FR,8.0
2020-04-02,Organic,HR,3.0
2020-04-22,Paid,UK,15.0
2020-05-13,Organic,MM,49.0
2020-05-13,Paid,WS,1.0
2020-04-22,Organic,SO,1.0
2020-05-11,Organic,NI,1.0
2020-04-24,Organic,PK,20.0
2020-05-14,Paid,GE,1.0
2020-05-05,Paid,HK,1.0
2020-05-05,Organic,NO,7.0
2020-04-11,Organic,PL,100.0
2020-05-06,Paid,OM,1.0
2020-04-26,Paid,BR,2.0
2020-05-06,Organic,US,167.0
2020-05-16,Organic,CR,4.0
2020-04-21,Paid,GN,1.0
2020-03-21,Paid,HK,2.0
2020-04-03,Paid,US,1.0
2020-04-10,Organic,IL,8.0
2020-04-27,Paid,GH,1.0
2020-03-29,Organic,LT,4.0
2020-03-18,Organic,CU,24.0
2020-03-29,Paid,JP,3.0
2020-04-26,Organic,FJ,1.0
2020-04-01,Paid,IT,21.0
2020-05-04,Paid,RO,13.0
2020-05-07,Paid,AR,210.0
2020-04-23,Organic,JO,9.0
2020-05-17,Paid,AT,55.0
2020-04-06,Paid,DK,2.0
2020-05-18,Paid,FR,42.0
2020-03-20,Organic,TJ,9.0
2020-04-17,Organic,IT,27.0
2020-05-03,Organic,CL,19.0
2020-04-19,Organic,RO,49.0
2020-04-07,Organic,IR,31.0
2020-05-08,Organic,LK,1.0
2020-04-09,Paid,CZ,41.0
2020-05-02,Organic,FR,44.0
2020-03-21,Organic,CM,1.0
2020-04-28,Paid,SK,5.0
2020-04-15,Paid,IT,1.0
2020-05-12,Paid,AL,3.0
2020-04-14,Paid,KR,21.0
2020-04-09,Paid,PH,210.0
2020-03-19,Paid,NL,1.0
2020-04-15,Organic,JP,23.0
2020-03-19,Organic,TR,111.0
2020-04-24,Paid,VN,1.0
2020-04-03,Paid,UK,37.0
2020-03-25,Organic,UZ,70.0
2020-04-21,Organic,PE,5.0
2020-05-05,Organic,AF,3.0
2020-05-16,Organic,NG,3.0
2020-03-29,Paid,GE,1.0
2020-04-01,Organic,BE,11.0
2020-03-21,Paid,GP,1.0
2020-05-17,Paid,LA,2.0
2020-04-28,Paid,RE,1.0
2020-04-19,Organic,SA,17.0
2020-05-13,Organic,BD,89.0
2020-05-15,Paid,UA,1.0
2020-03-20,Paid,CA,2.0
2020-05-08,Organic,ME,1.0
2020-04-29,Organic,SG,2.0
2020-04-17,Paid,BE,8.0
2020-05-15,Paid,PL,26.0
2020-05-18,Organic,AX,1.0
2020-04-08,Paid,US,62.0
2020-05-04,Paid,SA,2.0
2020-03-25,Paid,HU,19.0
2020-04-09,Paid,NO,7.0
2020-05-02,Organic,KG,9.0
2020-04-20,Organic,GB,18.0
2020-05-18,Paid,PL,23.0
2020-04-07,Paid,US,14.0
2020-05-12,Paid,LY,4.0
2020-03-21,Paid,IE,1.0
2020-04-15,Organic,GE,17.0
2020-04-24,Organic,SY,6.0
2020-04-01,Paid,GR,2.0
2020-05-10,Organic,BZ,1.0
2020-03-20,Paid,PH,17.0
2020-03-22,Paid,CR,1.0
2020-05-09,Paid,KZ,2.0
2020-05-13,Organic,MW,2.0
2020-04-30,Paid,BG,2.0
2020-03-22,Paid,RU,187.0
2020-03-25,Paid,SE,18.0
2020-05-17,Paid,CR,2.0
2020-05-14,Paid,LU,1.0
2020-04-13,Paid,IL,5.0
2020-04-27,Paid,GE,1.0
2020-04-01,Paid,KR,9.0
2020-03-24,Organic,AU,13.0
2020-05-01,Paid,BG,1.0
2020-05-08,Paid,KZ,1.0
2020-03-26,Paid,SE,5.0
2020-04-09,Organic,DK,7.0
2020-04-24,Paid,JO,4.0
2020-05-10,Organic,AR,31.0
2020-04-23,Paid,AE,1.0
2020-05-16,Organic,AT,18.0
2020-03-24,Paid,UA,3.0
2020-04-16,Paid,AZ,1.0
2020-04-10,Paid,AU,1.0
2020-04-30,Paid,FR,7.0
2020-04-18,Paid,BY,48.0
2020-05-11,Organic,BH,1.0
2020-04-27,Organic,SK,9.0
2020-05-07,Paid,DE,21.0
2020-05-06,Paid,CL,259.0
2020-04-14,Paid,IT,214.0
2020-04-20,Paid,RO,33.0
2020-04-30,Paid,AT,3.0
2020-03-23,Organic,BO,2.0
2020-04-12,Paid,UA,415.0
2020-04-08,Paid,IR,1.0
2020-03-24,Organic,MN,2.0
2020-04-06,Organic,PH,75.0
2020-04-01,Organic,AM,23.0
2020-05-10,Paid,DE,27.0
2020-04-21,Paid,BY,1.0
2020-05-13,Organic,AL,2.0
2020-03-20,Organic,ZW,1.0
2020-04-11,Paid,UA,193.0
2020-04-17,Organic,KR,15.0
2020-04-25,Paid,NZ,7.0
2020-04-29,Organic,QA,2.0
2020-03-23,Paid,RU,835.0
2020-03-29,Paid,RS,1.0
2020-03-26,Paid,UZ,605.0
2020-04-18,Paid,PE,1.0
2020-03-20,Paid,RU,10.0
